sku;base_image;small_image;store_view_code;attribute_set_code;product_type;categories;product_websites;name;description;short_description;weight;product_online;tax_class_name;visibility;price;special_price;special_price_from_date;special_price_to_date;url_key;meta_title;meta_keywords;meta_description;created_at;updated_at;new_from_date;new_to_date;display_product_options_in;map_price;msrp_price;map_enabled;gift_message_available;custom_design;custom_design_from;custom_design_to;custom_layout_update;page_layout;product_options_container;msrp_display_actual_price_type;country_of_manufacture;additional_attributes;qty;out_of_stock_qty;use_config_min_qty;is_qty_decimal;allow_backorders;use_config_backorders;min_cart_qty;use_config_min_sale_qty;max_cart_qty;use_config_max_sale_qty;is_in_stock;notify_on_stock_below;use_config_notify_stock_qty;manage_stock;use_config_manage_stock;use_config_qty_increments;qty_increments;use_config_enable_qty_inc;enable_qty_increments;is_decimal_divided;website_id;deferred_stock_update;use_config_deferred_stock_update;related_skus;crosssell_skus;upsell_skus;hide_from_product_page;custom_options;bundle_price_type;bundle_sku_type;bundle_price_view;bundle_weight_type;bundle_values;associated_skus
239;http://static.aptekagemini.pl/media/products/3_/8_/7_/3879b302b9efb8afc8d7487/images/thumbnail/large_1507627233apteka_internetowa_gemini_avilin_balsam_receptury_prof_szostakowskiego_p-yn_50ml.jpg;http://static.aptekagemini.pl/media/products/3_/8_/7_/3879b302b9efb8afc8d7487/images/thumbnail/large_1507627233apteka_internetowa_gemini_avilin_balsam_receptury_prof_szostakowskiego_p-yn_50ml.jpg;;Default;simple;Default Category/problemy skórne/odleżyny;base;AVILIN, Balsam receptury prof. Szostakowskiego, płyn, 50ml;Preparat o działaniu osłaniającym i ochronnym, wspomaga naturalne funkcje regeneracji tkanek. Balsam głęboko odbudowuje skórę, nawet bardzo podrażnioną, działa na nią kojąco, przyspiesza jej regenerację, łagodzi podrażnienia.;;1;1;Taxable Goods;Catalog, Search;18.88;;;;238;AVILIN, Balsam receptury prof. Szostakowskiego, płyn, 50ml;meta;meta description;;;;;Block after Info Column;;;;;;;;;;;Use config;;;100;0;1;0;0;1;1;0;0;1;1;;1;0;1;1;0;1;0;0;1;0;1;;;;;;;;;;;
240;http://static.aptekagemini.pl/media/products/2_/a_/d_/2adab71add0967d3912cf52f3a262e1c/images/thumbnail/large_1507010586apteka_internetowa_gemini_avilin_balsam_receptury_prof_szostakowskiego_p-yn_100ml.jpg;http://static.aptekagemini.pl/media/products/2_/a_/d_/2adab71add0967d3912cf52f3a262e1c/images/thumbnail/large_1507010586apteka_internetowa_gemini_avilin_balsam_receptury_prof_szostakowskiego_p-yn_100ml.jpg;;Default;simple;Default Category/problemy skórne/odleżyny;base;AVILIN, Balsam receptury prof. Szostakowskiego, płyn, 100ml;Preparat o działaniu osłaniającym i ochronnym, wspomaga naturalne funkcje regeneracji tkanek. Balsam głęboko odbudowuje skórę, nawet bardzo podrażnioną, działa na nią kojąco, przyspiesza jej regenerację, łagodzi podrażnienia.;;1;1;Taxable Goods;Catalog, Search;31.89;;;;239;AVILIN, Balsam receptury prof. Szostakowskiego, płyn, 100ml;meta;meta description;;;;;Block after Info Column;;;;;;;;;;;Use config;;;100;0;1;0;0;1;1;0;0;1;1;;1;0;1;1;0;1;0;0;1;0;1;;;;;;;;;;;
241;http://static.aptekagemini.pl/media/products/d_/e_/8_/de836cbcb2c9f80af884840/images/thumbnail/large_1502905137apteka_internetowa_gemini_avilin_balsam_receptury_prof_szostakowskiego_spray_75ml.jpg;http://static.aptekagemini.pl/media/products/d_/e_/8_/de836cbcb2c9f80af884840/images/thumbnail/large_1502905137apteka_internetowa_gemini_avilin_balsam_receptury_prof_szostakowskiego_spray_75ml.jpg;;Default;simple;Default Category/problemy skórne/odleżyny;base;AVILIN, Balsam receptury prof. Szostakowskiego, spray, 75ml;"Avilin Balsam spray opatrunek adhezyjny spełnia na uszkodzonej skórze rolę przylegającego opatrunku, tworząc barierę ochronną. Ze względu na swoją strukturę chemiczną i właściwości fizyko-chemiczne zapewnia optymalne pH i wilgotność rany; zabezpiecza ją przed utratą wody oraz zapewnia jednoczesną wymianę gazową tworząc odpowiednie mikrośrodowisko rany. Związek ten ze względu na stabilność chemiczną jest odporny na środowisko w jakim się znajduje a jego szczególnie wysoka lepkość powoduje, że utrzymuje się na uszkodzonej skórze i skutecznie zabezpiecza ranę przed czynnikami zewnętrznymi chroniąc ją przed zakażeniem pochodzącym z zewnątrz; zwłaszcza w przypadku ran trudno gojących się. W przypadku ran brudnych lub zakażonych przed nałożeniem opatrunku należy ranę oczyścić i zdezynfekować. Stosować do opatrywania ran wymagających zachowania wilgotnego środowiska.";;1;1;Taxable Goods;Catalog, Search;19.88;;;;240;AVILIN, Balsam receptury prof. Szostakowskiego, spray, 75ml;meta;meta description;;;;;Block after Info Column;;;;;;;;;;;Use config;;;100;0;1;0;0;1;1;0;0;1;1;;1;0;1;1;0;1;0;0;1;0;1;;;;;;;;;;;
242;http://static.aptekagemini.pl/media/products/0_/4_/f_/04f7a0296b70622684f30495c224e923/images/thumbnail/large_1507106212apteka_internetowa_gemini_aviomarin_50mg_5_tabletek.jpg;http://static.aptekagemini.pl/media/products/0_/4_/f_/04f7a0296b70622684f30495c224e923/images/thumbnail/large_1507106212apteka_internetowa_gemini_aviomarin_50mg_5_tabletek.jpg;;Default;simple;Default Category/dobre samopoczucie/choroba lokomocyjna;base;Aviomarin 50mg, 5 tabletek;;;1;1;Taxable Goods;Catalog, Search;8.89;;;;241;Aviomarin 50mg, 5 tabletek;meta;meta description;;;;;Block after Info Column;;;;;;;;;;;Use config;;;100;0;1;0;0;1;1;0;0;1;1;;1;0;1;1;0;1;0;0;1;0;1;;;;;;;;;;;
243;http://static.aptekagemini.pl/media/products/1_/0_/8_/10803e9dfd35da405c1c990f9218911c/images/thumbnail/large_1496920173apteka_internetowa_gemini_avene_sunsi_med_bardzo_wysoka_ochrona_dla_sk-ry_wra-liwej_80ml.jpg;http://static.aptekagemini.pl/media/products/1_/0_/8_/10803e9dfd35da405c1c990f9218911c/images/thumbnail/large_1496920173apteka_internetowa_gemini_avene_sunsi_med_bardzo_wysoka_ochrona_dla_sk-ry_wra-liwej_80ml.jpg;;Default;simple;Default Category/problemy skórne/inne;base;AVENE Sunsi Med, bardzo wysoka ochrona dla skóry wrażliwej, 80ml;SunsiMed to idealne rozwiązanie dla skóry nadwrażliwej na słońce. Dzięki opracowanemu przez Dział Badań Firmy Pierre Fabre wyjątkowemu kompleksowi foto ochronnemu, SensiMed chroni skórę przed promieniowaniem słonecznym każdego dnia poprzez:;;1;1;Taxable Goods;Catalog, Search;74.89;;;;242;AVENE Sunsi Med, bardzo wysoka ochrona dla skóry wrażliwej, 80ml;meta;meta description;;;;;Block after Info Column;;;;;;;;;;;Use config;;;100;0;1;0;0;1;1;0;0;1;1;;1;0;1;1;0;1;0;0;1;0;1;;;;;;;;;;;
244;http://static.aptekagemini.pl/media/products/0_/3_/6_/036cddd712524fd46979012/images/thumbnail/large_1508303027apteka_internetowa_gemini_avilin_balsam_gastro_p-yn_110ml.jpg;http://static.aptekagemini.pl/media/products/0_/3_/6_/036cddd712524fd46979012/images/thumbnail/large_1508303027apteka_internetowa_gemini_avilin_balsam_gastro_p-yn_110ml.jpg;;Default;simple;Default Category/układ pokarmowy/wrzody żołądka, zgaga;base;AVILIN Balsam Gastro, płyn, 110ml;;;1;1;Taxable Goods;Catalog, Search;29.32;;;;243;AVILIN Balsam Gastro, płyn, 110ml;meta;meta description;;;;;Block after Info Column;;;;;;;;;;;Use config;;;100;0;1;0;0;1;1;0;0;1;1;;1;0;1;1;0;1;0;0;1;0;1;;;;;;;;;;;
245;http://static.aptekagemini.pl/media/products/e_/4_/4_/e44d79eca1538aae9412292/images/thumbnail/large_1496917682apteka_internetowa_gemini_b-complex_50_tabletek.jpg;http://static.aptekagemini.pl/media/products/e_/4_/4_/e44d79eca1538aae9412292/images/thumbnail/large_1496917682apteka_internetowa_gemini_b-complex_50_tabletek.jpg;;Default;simple;Default Category/witaminy i mikroelementy/witamina B complex;base;B-Complex, 50 tabletek;Suplement diety stanowi uzupełnienie codziennej diety w witaminy z grupy B. Witamina B1 (tiamina) pomaga w prawidłowym funkcjonowaniu serca. Witamina B2, B6, B12 i niacyna pomagają w prawidłowym funkcjonowaniu układu nerwowego, przyczyniają się do zmniejszenia uczucia zmęczenia i znużenia oraz do utrzymania prawidłowego metabolizmu energetycznego. Kwas pantotenowy pomaga w utrzymaniu sprawności umysłowej na prawidłowym poziomie, a witamina B6 i B12 pomagają w prawidłowej produkcji czerwonych krwinek. Biotyna pomaga zachować zdrową skórę i włosy. Kwas foliowy wspiera prawidłową produkcję krwi.;;1;1;Taxable Goods;Catalog, Search;4.39;;;;244;B-Complex, 50 tabletek;meta;meta description;;;;;Block after Info Column;;;;;;;;;;;Use config;;;100;0;1;0;0;1;1;0;0;1;1;;1;0;1;1;0;1;0;0;1;0;1;;;;;;;;;;;
246;http://static.aptekagemini.pl/media/products/e_/b_/d_/ebd4e4b9e44df14c5ec6aa338818de56/images/thumbnail/large_1489604455apteka_internetowa_gemini_axolan_30_kapsu-ek.jpg;http://static.aptekagemini.pl/media/products/e_/b_/d_/ebd4e4b9e44df14c5ec6aa338818de56/images/thumbnail/large_1489604455apteka_internetowa_gemini_axolan_30_kapsu-ek.jpg;;Default;simple;Default Category/witaminy i mikroelementy/dla dorosłych;base;Axolan, 30 kapsułek;Suplement diety zawiera kwas alfa-liponowy oraz zespół witamin i selen.;;1;1;Taxable Goods;Catalog, Search;26.98;;;;245;Axolan, 30 kapsułek;meta;meta description;;;;;Block after Info Column;;;;;;;;;;;Use config;;;100;0;1;0;0;1;1;0;0;1;1;;1;0;1;1;0;1;0;0;1;0;1;;;;;;;;;;;
247;http://static.aptekagemini.pl/media/products/8_/8_/8_/888e70028eba238a8bd3de4cd1751b92/images/thumbnail/large_apteka_internetowa_gemini_b12_sublingual_liquid_witamina_b12_w_p-ynie_swanson_59ml.jpg;http://static.aptekagemini.pl/media/products/8_/8_/8_/888e70028eba238a8bd3de4cd1751b92/images/thumbnail/large_apteka_internetowa_gemini_b12_sublingual_liquid_witamina_b12_w_p-ynie_swanson_59ml.jpg;;Default;simple;Default Category/witaminy i mikroelementy/witamina B12;base;B12 Sublingual Liquid, Witamina B12 w płynie, SWANSON, 59ml;Suplement diety, który uzupełnia dietę w witaminę B12 (cyjanokobalaminę). Witamina B12, która pomaga w prawidłowej produkcji czerwonych krwinek (erytrocytów) odpowiedzialnych za transport tlenu w organizmie.;;1;1;Taxable Goods;Catalog, Search;49.39;;;;246;B12 Sublingual Liquid, Witamina B12 w płynie, SWANSON, 59ml;meta;meta description;;;;;Block after Info Column;;;;;;;;;;;Use config;;;100;0;1;0;0;1;1;0;0;1;1;;1;0;1;1;0;1;0;0;1;0;1;;;;;;;;;;;
248;http://static.aptekagemini.pl/media/products/2_/9_/a_/29a24d7e01b28564dd26f9c706524f98/images/thumbnail/large_1503067100apteka_internetowa_gemini_azelastin_comod_krople_do_oczu_roztw-r_05mgml.jpg;http://static.aptekagemini.pl/media/products/2_/9_/a_/29a24d7e01b28564dd26f9c706524f98/images/thumbnail/large_1503067100apteka_internetowa_gemini_azelastin_comod_krople_do_oczu_roztw-r_05mgml.jpg;;Default;simple;Default Category/alergia i katar sienny/krople/aerozole;base;Azelastin Comod, krople do oczu, roztwór, 0,5mg/ml;;;1;1;Taxable Goods;Catalog, Search;22.78;;;;247;Azelastin Comod, krople do oczu, roztwór, 0,5mg/ml;meta;meta description;;;;;Block after Info Column;;;;;;;;;;;Use config;;;100;0;1;0;0;1;1;0;0;1;1;;1;0;1;1;0;1;0;0;1;0;1;;;;;;;;;;;
